address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
NW 62nd St,Seattle,WA,98107,NA,1510.0,3.0,2.0,812,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/163434657_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3RD Ave NW,SEATTLE,WA,98107,NA,1960.0,3.0,1.0,71,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/244339096_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2200 NW 67TH St,SEATTLE,WA,98117,740000,1300.0,3.0,1.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2200-NW-67TH-St-Seattle-WA-98117/49041720_zpid/
2802 NW 66TH St,SEATTLE,WA,98117,709000,1960.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2802-NW-66TH-St-Seattle-WA-98117/48888346_zpid/
6747 23RD Ave NW,SEATTLE,WA,98117,599000,1470.0,2.0,2.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6747-23RD-Ave-NW-Seattle-WA-98117/49041792_zpid/
1714 NW 96TH St,SEATTLE,WA,98117,620000,1910.0,3.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1714-NW-96TH-St-Seattle-WA-98117/48677573_zpid/
819 NW 80TH St,SEATTLE,WA,98117,695000,2480.0,3.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/819-NW-80TH-St-Seattle-WA-98117/48837032_zpid/
7723 12th Ave NW,Seattle,WA,98117,979000,3730.0,4.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7723-12th-Ave-NW-Seattle-WA-98117/2091059616_zpid/
3282 NW Esplanade,SEATTLE,WA,98117,2695000,3270.0,4.0,3.0,4,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3282-NW-Esplanade-Seattle-WA-98117/48939466_zpid/
9056 Mary Ave NW APT 201,SEATTLE,WA,98117,335000,648.0,1.0,1.0,6,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/9056-Mary-Ave-NW-APT-201-Seattle-WA-98117/88876033_zpid/
7353 27TH Ave NW,SEATTLE,WA,98117,775000,2430.0,3.0,1.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7353-27TH-Ave-NW-Seattle-WA-98117/49116015_zpid/
