address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,schools
11675 Pine Canyon Pt # FKV0PU,Parker,CO,80138,609995,3968.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221609_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # FKB84G,Parker,CO,80138,624995,4149.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097221600_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # R0554Q,Parker,CO,80138,594995,3999.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851903_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # RDC7E2,Parker,CO,80138,601995,3968.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851899_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
21962 E Idyllwilde Dr # LERHLI,Parker,CO,80138,528995,3459.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851966_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # RWL06O,Parker,CO,80138,581995,3968.0,4.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851929_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
11675 Pine Canyon Pt # SFTSZA,Parker,CO,80138,589995,3999.0,4.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093851932_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
13060 Travois Trl,PARKER,CO,80138,699000,4294.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13060-Travois-Trl-Parker-CO-80138/13463696_zpid/,NA
12014 S Allerton Cir,PARKER,CO,80138,600000,4680.0,3.0,3.0,42,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12014-S-Allerton-Cir-Parker-CO-80138/82023441_zpid/,NA
N. Delbert Road,Parker,CO,80138,625000,NA,NA,NA,123,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/N-Delbert-Road-Parker-CO-80138/2102005272_zpid/,NA
