address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,schools
Hope Dale Ave,Parker,CO,80138,NA,3490.0,3.0,3.0,315,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154113607_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Tallman Dr,Parker,CO,80138,NA,2582.0,4.0,3.0,294,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154113770_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Farmingdale Way,Parker,CO,80138,NA,1885.0,3.0,3.0,294,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154113945_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Pensive Ct,Parker,CO,80138,NA,1891.0,3.0,2.0,181,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/242659398_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
York Ave,Parker,CO,80138,NA,2642.0,4.0,4.0,40,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186445_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Omaha Ave,Parker,CO,80138,NA,2248.0,3.0,3.5,27,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186435_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Quail Run Way,Parker,CO,80138,NA,2708.0,4.0,3.0,24,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186434_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
E Shefield Ct,Parker,CO,80138,NA,2100.0,3.0,3.0,75,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186409_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Pine Top St,PARKER,CO,80138,NA,1632.0,3.0,2.0,21,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245221778_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Wintergreen Way,PARKER,CO,80138,NA,2045.0,4.0,3.0,18,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245247677_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
8890 S Duquesne Ct,Parker,CO,80138,564990,2584.0,3.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8890-S-Duquesne-Ct-Parker-CO-80138/123057214_zpid/,NA
Longs Way,Parker,CO,80138,NA,1332.0,2.0,2.0,150,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/243157646_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Summerset Ln,Parker,CO,80138,NA,1073.0,2.0,2.0,215,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/242659400_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Bayfield Way,Parker,CO,80138,NA,1102.0,2.0,2.0,25,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186408_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
Longs Way,Parker,CO,80138,NA,1574.0,2.0,2.0,25,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245186407_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA
