address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
3216 SW 2nd Ave 4 # 4,Portland,OR,97239,554500,2218.0,2.0,4.0,15,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3216-SW-2nd-Ave-4-4-Portland-OR-97239/2091205312_zpid/
3388 SW Beaverton Hillsdale Hwy,Portland,OR,97239,189900,583.0,2.0,1.0,80,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3388-SW-Beaverton-Hillsdale-Hwy-Portland-OR-97239/53923133_zpid/
SW Mcdonnell Ter,Portland,OR,97239,89000,9583.0,NA,NA,361,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Mcdonnell-Ter-Portland-OR-97239/126307893_zpid/
3617 SW Corbett Ave,Portland,OR,97239,429000,1411.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3617-SW-Corbett-Ave-Portland-OR-97239/53836205_zpid/
5150 SW Landing Dr APT 301,Portland,OR,97239,285000,784.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5150-SW-Landing-Dr-APT-301-Portland-OR-97239/2093070070_zpid/
1235 SW Curry St,Portland,OR,97239,759900,2410.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1235-SW-Curry-St-Portland-OR-97239/53936003_zpid/
5630 SW Riverside Ln APT 2,Portland,OR,97239,306000,1170.0,2.0,2.0,497,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5630-SW-Riverside-Ln-APT-2-Portland-OR-97239/53987442_zpid/
3983 SW Condor Ave,Portland,OR,97239,525000,2132.0,3.0,1.0,52,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3983-SW-Condor-Ave-Portland-OR-97239/53865488_zpid/
4236 SW Mcdonnell Ter,Portland,OR,97239,1950000,3054.0,4.0,4.0,112,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4236-SW-Mcdonnell-Ter-Portland-OR-97239/53877791_zpid/
5262 SW Westwood Vw,Portland,OR,97239,2495000,5382.0,5.0,5.0,357,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5262-SW-Westwood-Vw-Portland-OR-97239/121204862_zpid/
5655 SW Menefee Dr,Portland,OR,97239,899900,2670.0,3.0,3.0,54,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5655-SW-Menefee-Dr-Portland-OR-97239/53967846_zpid/
3515 SW Barbur Blvd APT Q3,Portland,OR,97239,320000,675.0,1.0,1.0,74,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3515-SW-Barbur-Blvd-APT-Q3-Portland-OR-97239/53811159_zpid/
5225 SW Menefee Dr,Portland,OR,97239,895000,3527.0,4.0,3.0,309,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5225-SW-Menefee-Dr-Portland-OR-97239/53967776_zpid/
3601 SW River Pkwy UNIT 2502,Portland,OR,97239,599900,1468.0,2.0,2.0,80,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3601-SW-River-Pkwy-UNIT-2502-Portland-OR-97239/72258974_zpid/
5624 SW Riverside Ln APT 13,Portland,OR,97239,350000,1170.0,2.0,2.0,193,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5624-SW-Riverside-Ln-APT-13-Portland-OR-97239/53987465_zpid/
1080 SW Westwood Dr,Portland,OR,97239,869000,3464.0,4.0,3.0,327,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1080-SW-Westwood-Dr-Portland-OR-97239/58472706_zpid/
5015 SW Dosch Rd,Portland,OR,97239,899999,3802.0,6.0,3.0,375,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5015-SW-Dosch-Rd-Portland-OR-97239/53998883_zpid/
3601 SW River Pkwy UNIT 612,Portland,OR,97239,350000,790.0,1.0,1.0,137,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3601-SW-River-Pkwy-UNIT-612-Portland-OR-97239/72258291_zpid/
836 SW Curry St UNIT 508,Portland,OR,97239,769900,1525.0,2.0,2.0,377,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/836-SW-Curry-St-UNIT-508-Portland-OR-97239/68354142_zpid/
3512 SW Beaverton Ave,Portland,OR,97239,1299000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3512-SW-Beaverton-Ave-Portland-OR-97239/53846353_zpid/
4635 SW Corbett Ave # 2,Portland,OR,97239,529900,1942.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4635-SW-Corbett-Ave-2-Portland-OR-97239/61810616_zpid/
